COD_CURSO,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_UNIDADE,NOME_DISCIPLINA,PERIODO_IDEAL,NUM_HORAS,TIPO_DISCIPLINA,CH_TOTAL,DESCR_SITUACAO
,,,,,,,,,,
21A,2019,Est�gio Supervisionado Obrigatório,CI1100,Curso de Ciência da Computação - Bacharelado,EST�GIO Obrigatório,,220,Estágio Curricular,220,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CE009,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO À ESTAT�STICA,3,60,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1001,Curso de Ciência da Computação - Bacharelado,PROGRAMAÇÃO I,2,60,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1002,Curso de Ciência da Computação - Bacharelado,PROGRAMAÇÃO II,3,60,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1003,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO À Ciência DA Computação,1,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1005,Curso de Ciência da Computação - Bacharelado,QUALIDADE DE SOFTWARE,8,15,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1007,Curso de Ciência da Computação - Bacharelado,SEGURAN�A COMPUTACIONAL,7,16,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1055,Curso de Ciência da Computação - Bacharelado,ALGORITMOS E ESTRUTURA DE DADOS I,1,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1056,Curso de Ciência da Computação - Bacharelado,ALGORITMOS E ESTRUTURA DE DADOS II,2,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1057,Curso de Ciência da Computação - Bacharelado,ALGORITMOS E ESTRUTURAS DE DADOS III,3,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1058,Curso de Ciência da Computação - Bacharelado,REDE DE COMPUTADORES I,5,16,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1059,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO � TEORIA DA Computação,4,15,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1061,Curso de Ciência da Computação - Bacharelado,REDES DE COMPUTADORES II,6,16,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1062,Curso de Ciência da Computação - Bacharelado,PARADIGMAS DE PROGRAMAÇÃO,4,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1064,Curso de Ciência da Computação - Bacharelado,SOFTWARE B�SICO,4,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1065,Curso de Ciência da Computação - Bacharelado,ALGORITMOS E TEORIA DOS GRAFOS,5,15,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1068,Curso de Ciência da Computação - Bacharelado,CIRCUITOS DIGITAIS,1,20,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1162,Curso de Ciência da Computação - Bacharelado,ENGENHARIA DE REQUISITOS,5,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1163,Curso de Ciência da Computação - Bacharelado,DESIGN DE SOFTWARE,6,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1164,Curso de Ciência da Computação - Bacharelado,INTRODUÇÃO � Computação CIENT�FICA,4,40,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1165,Curso de Ciência da Computação - Bacharelado,AN�LISE DE ALGORITMOS,4,10,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1209,Curso de Ciência da Computação - Bacharelado,INTELIG�NCIA ARTIFICIAL,6,30,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1210,Curso de Ciência da Computação - Bacharelado,PROJETOS DIGITAIS E MICROPROCESSADORES,2,20,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1211,Curso de Ciência da Computação - Bacharelado,CONSTRU��O DE COMPILADORES,8,20,Obrigatória,60,ATIVA
21A,2019,Núcleo de Conteúdos Obrigatórios,CI1212,Curso de Ciência da Computação - Bacharelado,ARQUITETURA DE COMPUTADORES,3,20,Obrigatória,60,ATIVA
